selling_price,year,seller_type,km_driven,fuel_type,transmission_type,mileage,engine,max_power,seats,Company
450000,2020,1,6000,0,0,22.3,799.0,53.26,5.0,Renault
480000,2017,0,64000,0,0,18.6,1197.0,81.83,5.0,Hyundai
1060000,2017,0,93000,1,0,15.4,1997.0,120.0,7.0,Mahindra
235000,2013,0,26200,0,0,22.74,796.0,47.3,5.0,Maruti
590000,2017,1,25000,0,0,21.4,1197.0,83.1,5.0,Maruti
750000,2017,1,80000,1,0,18.49,1493.0,100.0,7.0,Mahindra
71000,2004,1,110000,0,1,19.63826453243471,999.0,74.34109969352802,5.0,Hyundai
450000,2016,1,70000,1,0,18.49,1493.0,100.0,7.0,Mahindra
2950000,2018,0,50000,1,1,12.9,2755.0,174.5,7.0,Toyota
110000,2008,1,80000,0,0,17.92,1086.0,62.1,5.0,Hyundai
280000,2007,1,110000,1,0,13.5,2179.0,115.0,5.0,Mahindra
1851000,2016,0,55000,0,1,17.84,1395.0,147.51,5.0,Audi
750000,2018,1,25000,0,0,17.4,1497.0,117.3,5.0,Honda
400000,2015,0,36000,0,0,18.9,1197.0,81.86,5.0,Hyundai
530000,2015,1,40000,1,0,26.59,1248.0,74.0,5.0,Maruti
869999,2018,1,25000,1,0,16.55,2498.0,105.0,6.0,Mahindra
295000,2018,0,30038,0,0,25.17,799.0,53.3,5.0,Renault
370000,2017,1,53000,1,0,27.28,1047.0,69.0,5.0,Tata
530000,2018,1,5000,0,0,21.21,1197.0,81.8,5.0,Maruti
600000,2014,1,41217,1,0,24.4,1120.0,71.0,5.0,Hyundai
350000,2017,1,35000,0,1,24.04,999.0,67.0,5.0,Renault
470000,2013,0,62000,1,0,22.7,1498.0,89.84,5.0,Ford
390000,2015,1,42000,1,0,25.83,1498.0,99.0,5.0,Ford
115999,2005,1,120000,1,0,13.2,1995.0,56.0,5.0,others
919999,2015,1,80000,1,0,15.4,2179.0,120.0,7.0,Mahindra
550000,2013,1,60000,1,0,15.1,2179.0,140.0,7.0,Mahindra
635000,2014,1,45000,1,0,22.32,1582.0,126.32,5.0,Hyundai
1250000,2017,0,50000,1,1,16.0,2179.0,140.0,7.0,Mahindra
300000,2018,1,12000,0,0,24.7,796.0,47.3,5.0,Maruti
960000,2018,1,12000,0,1,18.0,1497.0,117.6,5.0,Honda
750000,2018,1,15000,1,0,24.3,1248.0,88.5,5.0,Maruti
249000,2011,0,63000,0,0,16.47,1198.0,73.9,5.0,Volkswagen
1400000,2018,1,30000,1,0,17.6,2179.0,153.86,7.0,Tata
250000,2011,1,160800,1,0,20.0,1399.0,68.0,5.0,Ford
610000,2014,1,120000,1,0,22.32,1582.0,126.32,5.0,Hyundai
165000,2010,0,62821,0,0,18.2,998.0,67.1,5.0,Maruti
545000,2016,0,78247,1,0,21.7,1498.0,98.96,5.0,Ford
480000,2013,1,113000,1,0,22.32,1582.0,126.3,5.0,Hyundai
395000,2014,0,52000,0,0,18.6,1197.0,81.83,5.0,Hyundai
495000,2012,0,109000,1,0,12.99,2494.0,100.6,7.0,Toyota
550000,2017,1,15000,1,0,19.63826453243471,1498.0,99.0,5.0,Ford
470000,2017,1,90000,0,0,18.9,1197.0,82.0,5.0,Hyundai
200000,2011,1,35000,0,0,16.84,1193.0,64.4,5.0,Tata
280000,2010,1,90000,1,0,17.0,1896.0,105.0,5.0,Skoda
149000,2008,0,62001,0,0,14.4,1399.0,94.0,5.0,Chevrolet
200000,2011,0,98000,1,0,22.07,1199.0,73.9,5.0,Volkswagen
699000,2016,1,20000,1,0,21.19,1396.0,88.73,5.0,Hyundai
315000,2010,0,57000,0,0,14.28,1798.0,138.03,5.0,Toyota
340000,2014,1,21717,0,0,20.51,998.0,67.04,5.0,Maruti
500000,2014,1,40000,1,0,20.45,1461.0,83.8,5.0,Renault
1050000,2017,1,50000,0,0,17.14,1497.0,117.6,5.0,Honda
600000,2016,1,90000,1,0,19.6,1461.0,108.45,5.0,Renault
478000,2017,1,90000,1,0,20.5,1248.0,91.72,5.0,others
491000,2017,0,27876,0,0,20.4,1197.0,81.8,5.0,Maruti
2890000,2016,0,56000,0,1,12.63,1999.0,177.0,5.0,others
160000,2008,1,57215,0,0,20.36,1197.0,78.9,5.0,Hyundai
985000,2019,0,5400,0,0,18.27,998.0,118.35,5.0,Hyundai
500000,2014,1,60000,1,0,23.4,1248.0,74.0,5.0,Maruti
335000,2017,1,24800,0,0,23.84,1199.0,84.0,5.0,Tata
85000,2005,1,70000,0,0,19.7,796.0,46.3,5.0,Maruti
950000,2016,0,59450,1,0,21.9,1498.0,98.6,7.0,Honda
740000,2018,0,20000,0,1,17.1,1199.0,88.51,5.0,Honda
200000,2010,1,90000,1,0,17.0,1405.0,71.0,5.0,Tata
375000,2013,0,34553,0,0,22.0,1197.0,81.8,5.0,Maruti
810000,2018,1,40000,1,0,24.3,1248.0,88.5,5.0,Maruti
173000,2010,1,350000,0,0,16.47,1198.0,73.9,5.0,Volkswagen
700000,2017,1,50000,1,0,24.3,1248.0,88.5,5.0,Maruti
310000,2016,1,70000,1,0,25.32,1198.0,77.0,6.0,Mahindra
850000,2017,1,120000,1,0,15.4,1997.0,120.0,7.0,Mahindra
285000,2013,1,90000,1,0,22.54,1396.0,88.76,5.0,Hyundai
450000,2014,1,120000,1,0,23.4,1248.0,74.0,5.0,Maruti
1100000,2017,1,80000,1,0,19.67,1582.0,126.2,5.0,Hyundai
350000,2011,1,155000,1,0,14.0,2498.0,112.0,7.0,Mahindra
1080000,2017,1,30000,1,0,15.4,1997.0,120.0,7.0,Mahindra
530000,2014,0,66100,1,0,26.0,1498.0,98.6,5.0,Honda
680000,2017,1,50000,1,0,28.4,1248.0,74.02,5.0,Maruti
1025000,2017,0,42000,1,0,15.4,1997.0,120.0,7.0,Mahindra
650000,2017,1,55000,0,0,18.6,1197.0,81.83,5.0,Hyundai
194000,2012,0,110699,0,0,20.36,1197.0,78.9,5.0,Hyundai
686000,2019,1,5000,0,1,21.4,1197.0,83.1,5.0,Maruti
200000,2016,1,50000,0,0,22.74,796.0,47.3,5.0,Maruti
250000,2010,0,44000,0,0,19.1,1197.0,85.8,5.0,Maruti
730000,2018,1,90000,1,0,24.3,1248.0,88.5,5.0,Maruti
650000,2016,0,55000,0,0,17.01,1591.0,121.3,5.0,Hyundai
790000,2017,0,45000,1,0,24.3,1248.0,88.5,5.0,Maruti
620000,2017,1,30000,0,0,21.4,1197.0,83.1,5.0,Maruti
509999,2013,1,50000,0,0,17.01,1591.0,121.3,5.0,Hyundai
114999,2005,1,120000,0,0,19.63826453243471,1086.0,74.34109969352802,5.0,Hyundai
375000,2013,1,20000,0,0,15.37,1196.0,73.0,5.0,Maruti
525000,2015,0,69000,1,0,19.01,1461.0,108.5,5.0,Nissan
620000,2017,Trustmark Dealer,19843,0,1,21.21,1197.0,81.8,5.0,Maruti
270000,2014,1,20000,1,0,19.09,1405.0,69.01,5.0,Tata
950000,2011,1,30000,1,1,11.4,2953.0,153.86,7.0,Ford
1450000,2017,0,52300,1,0,13.68,2393.0,147.51,7.0,Toyota
844999,2016,1,40000,0,1,18.0,1497.0,117.3,5.0,Honda
390000,2014,0,61500,1,0,23.4,1248.0,74.0,5.0,Maruti
395000,2015,0,59000,0,0,18.0,1198.0,86.7,5.0,Honda
450000,2018,1,40000,0,0,18.9,1197.0,81.86,5.0,Hyundai
1700000,2013,1,60000,1,1,17.68,1968.0,174.33,5.0,Audi
325000,2013,0,61000,0,0,18.9,1197.0,82.0,5.0,Hyundai
350000,2016,1,70000,1,0,25.32,1198.0,77.0,6.0,Mahindra
650000,2013,0,63000,1,0,15.1,2179.0,140.0,7.0,Mahindra
1250000,2012,0,58000,0,0,12.3,1796.0,185.0,5.0,Mercedes-Benz
220000,2013,1,40000,0,0,19.0,998.0,67.1,5.0,Maruti
350000,2015,1,49000,1,0,17.21,1493.0,100.0,7.0,Mahindra
